,invoice_no,category,item,quantity,price,location_id,customer_id,invoice_date,payment_id,date_key,day_of_week,month,year,quarter,is_holiday,first_name,last_name,gender,age,dob,email,phone_number,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value,shopping_mall,city,province_state,country,payment_method,card_type,Unnamed: 3
4685,104685,Skin Care,Sunscreen,3,90.36,19,537,2020-07-26,5,2020-07-26,Sunday,July,2020,2020Q3,1,Stephanie,Taylor,Male,50.0,1975-02-05,jessicawilliams@phillips-adkins.biz,001-367-786-0827,1.0,783.0,7.0,0.0,2020-12-02,12.0,78.09,Yorkdale Shopping Centre,Toronto,Ontario,Canada,Debit Card - MasterCard,MasterCard,
4686,104686,Body Care and Hygiene,Body Lotion,4,7.75,48,296,2023-09-20,7,2023-09-20,Wednesday,September,2023,2023Q3,0,Mark,Choi,Male,41.0,1983-06-20,ronaldcisneros@hotmail.com,620-941-7128,1.0,1514.0,9.0,1.0,2022-07-29,45.0,10.14,Santa Monica Place,Santa Monica,California,US,Cash,,
4687,104687,Oral Care,Mouthwash,3,18.21,23,405,2020-09-13,9,2020-09-13,Sunday,September,2020,2020Q3,1,Mary,Mitchell,Female,44.0,1980-08-21,jaredgarrison@yahoo.com,503.340.7563,1.0,1296.0,5.0,0.0,2022-10-29,12.0,157.1,Palisades Center,West Nyack,New York,US,Apple Pay,,
4688,104688,Hair Care,Hair Oil,4,6.93,58,984,2021-08-09,8,2021-08-09,Monday,August,2021,2021Q3,0,Michele,Burton,Other,55.0,1969-09-21,frios@yahoo.com,(486)913-9676x6588,0.0,1530.0,9.0,1.0,2020-11-24,31.0,345.34,Town Center at Boca Raton,Boca Raton,Florida,US,BNPL (Buy Now, Pay Later),
4689,104689,Body Care and Hygiene,Hand Sanitizer,3,14.16,27,166,2021-07-30,10,2021-07-30,Friday,July,2021,2021Q3,0,Gregory,Caldwell,Female,68.0,1956-04-06,robertedwards@yahoo.com,173.835.6669,0.0,1042.0,2.0,1.0,2024-02-12,39.0,44.35,Oakbrook Center,Oak Brook,Illinois,US,Google Pay,,
4690,104690,Oral Care,Mouthwash,2,17.38,34,334,2021-11-01,10,2021-11-01,Monday,November,2021,2021Q4,0,Brianna,Perry,Other,43.0,1982-01-27,jenniferthompson@freeman-white.com,001-642-324-3239,0.0,888.0,6.0,0.0,2023-10-17,40.0,106.18,The Shops at Columbus Circle,New York,New York,US,Google Pay,,
4691,104691,Oral Care,Toothpaste,2,13.58,50,819,2020-02-03,9,2020-02-03,Monday,February,2020,2020Q1,0,Logan,Sawyer,Female,23.0,2001-04-14,edwardvalencia@hotmail.com,4606937717,0.0,310.0,6.0,0.0,2021-12-12,40.0,161.44,The Summit,Birmingham,Alabama,US,Apple Pay,,
4692,104692,Skin Care,Sunscreen,2,61.29,42,335,2021-10-30,3,2021-10-30,Saturday,October,2021,2021Q4,1,Stephanie,Adams,Male,57.0,1967-11-17,michael47@heath-smith.com,090-413-6544,0.0,101.0,6.0,1.0,2021-01-01,22.0,343.92,Brookfield Place,New York,New York,US,Credit Card - AMEX,AMEX,
4693,104693,Oral Care,Mouthwash,3,12.32,50,905,2024-01-21,8,2024-01-21,Sunday,January,2024,2024Q1,1,Dawn,Gonzalez,Male,61.0,1963-07-01,debralynch@hotmail.com,278-107-5288x56344,0.0,594.0,6.0,1.0,2023-09-06,4.0,126.17,The Summit,Birmingham,Alabama,US,BNPL (Buy Now, Pay Later),
4694,104694,Hair Care,Hair Oil,2,39.89,5,684,2020-05-22,6,2020-05-22,Friday,May,2020,2020Q2,0,Stephen,Sweeney,Male,19.0,2005-03-09,adavis@gallagher.org,(516)787-6802x500,0.0,182.0,8.0,0.0,2020-05-01,7.0,124.59,King of Prussia Mall,Philadelphia,Pennsylvania,US,PayPal,,
4695,104695,Body Care and Hygiene,Hand Sanitizer,2,9.55,44,880,2020-10-08,2,2020-10-08,Thursday,October,2020,2020Q4,0,David,Richardson,Other,69.0,1955-12-10,vlambert@richardson.biz,1939976619,0.0,1092.0,7.0,0.0,2022-12-10,30.0,277.61,The Florida Mall,Orlando,Florida,US,Credit Card - MasterCard,MasterCard,
4696,104696,Skin Care,Moisturizer,4,79.28,35,370,2021-05-28,8,2021-05-28,Friday,May,2021,2021Q2,0,Colleen,Miller,Male,19.0,2005-03-27,cpearson@hotmail.com,966.338.4861,1.0,804.0,10.0,0.0,2022-05-04,50.0,144.54,Bayshore Shopping Centre,Ottawa,Ontario,Canada,BNPL (Buy Now, Pay Later),
4697,104697,Hair Care,Hair Oil,4,38.19,46,155,2024-02-13,5,2024-02-13,Tuesday,February,2024,2024Q1,0,Michael,Knight,Female,64.0,1961-01-25,anthony08@gmail.com,519-511-9098x16996,1.0,375.0,5.0,1.0,2021-03-13,18.0,116.92,Park Meadows,Lone Tree,Colorado,US,Debit Card - MasterCard,MasterCard,
4698,104698,Oral Care,Mouthwash,4,18.72,7,171,2020-01-20,8,2020-01-20,Monday,January,2020,2020Q1,0,Nicole,Burns,Female,34.0,1990-11-06,george54@kelly.info,(126)764-6022,0.0,811.0,4.0,1.0,2022-04-19,25.0,390.67,West Edmonton Mall,Edmonton,Alberta,Canada,BNPL (Buy Now, Pay Later),
4699,104699,Body Care and Hygiene,Deodorant,4,19.84,3,157,2022-06-08,4,2022-06-08,Wednesday,June,2022,2022Q2,0,Carol,Hall,Female,59.0,1966-01-31,barbara37@hotmail.com,266-791-0436x1977,1.0,767.0,9.0,0.0,2021-09-20,39.0,70.34,Westfield London,London,England,UK,Debit Card - Visa,Visa,
4700,104700,Oral Care,Mouthwash,3,19.3,50,360,2020-05-23,4,2020-05-23,Saturday,May,2020,2020Q2,1,Jennifer,Richardson,Male,39.0,1985-12-19,hillkelsey@solomon-russell.info,2616968489,1.0,130.0,10.0,1.0,2025-01-21,42.0,350.85,The Summit,Birmingham,Alabama,US,Debit Card - Visa,Visa,
4701,104701,Oral Care,Toothpaste,3,6.33,21,232,2024-07-08,7,2024-07-08,Monday,July,2024,2024Q3,0,Elizabeth,Giles,Female,29.0,1995-06-26,thomasweaver@yahoo.com,(457)865-5839x002,0.0,1316.0,4.0,0.0,2023-07-17,26.0,291.65,Fashion Show Mall,Las Vegas,Nevada,US,Cash,,
4702,104702,Oral Care,Toothpaste,2,7.28,8,947,2023-01-22,2,2023-01-22,Sunday,January,2023,2023Q1,1,Michelle,Donaldson,Male,46.0,1978-09-02,kurt21@morris.com,467.115.8670x69185,1.0,889.0,3.0,1.0,2020-07-19,8.0,465.27,Bluewater Shopping Centre,Dartford,Kent,UK,Credit Card - MasterCard,MasterCard,
4703,104703,Body Care and Hygiene,Body Lotion,4,20.76,23,350,2024-04-04,2,2024-04-04,Thursday,April,2024,2024Q2,0,Nicholas,Torres,Female,21.0,2003-05-27,aadams@gmail.com,001-824-519-5258x962,1.0,1386.0,3.0,1.0,2022-11-06,49.0,302.41,Palisades Center,West Nyack,New York,US,Credit Card - MasterCard,MasterCard,
4704,104704,Skin Care,Lip Balm,4,30.4,33,820,2024-04-04,4,2024-04-04,Thursday,April,2024,2024Q2,0,Morgan,Black,Female,34.0,1990-09-24,rortiz@yahoo.com,923-170-3020x029,1.0,560.0,3.0,1.0,2023-04-02,43.0,253.53,Bellevue Square,Bellevue,Washington,US,Debit Card - Visa,Visa,
4705,104705,Hair Care,Hair Oil,2,25.02,13,713,2023-12-23,2,2023-12-23,Saturday,December,2023,2023Q4,1,Rick,Moore,Other,59.0,1965-05-10,millerlisa@vasquez.com,034.434.8923,1.0,1115.0,9.0,1.0,2024-07-27,20.0,454.18,The Grove,Los Angeles,California,US,Credit Card - MasterCard,MasterCard,
4706,104706,Oral Care,Toothpaste,4,7.54,28,999,2021-01-16,2,2021-01-16,Saturday,January,2021,2021Q1,1,Johnathan,Welch,Other,59.0,1965-08-19,ndeleon@watson.com,149.847.2256,0.0,862.0,3.0,1.0,2020-10-06,27.0,400.72,Dolphin Mall,Miami,Florida,US,Credit Card - MasterCard,MasterCard,
4707,104707,Skin Care,Face Wash,2,10.38,45,321,2025-01-14,3,2025-01-14,Tuesday,January,2025,2025Q1,0,Willie,Moore,Female,47.0,1977-04-30,donaldjohnson@rodriguez.info,207-158-9538x5069,1.0,747.0,4.0,1.0,2024-07-01,39.0,145.31,Westfield Annapolis,Annapolis,Maryland,US,Credit Card - AMEX,AMEX,
4708,104708,Skin Care,Sunscreen,1,26.84,9,63,2023-05-03,7,2023-05-03,Wednesday,May,2023,2023Q2,0,Dustin,Turner,Other,44.0,1980-07-14,smithbrian@hotmail.com,9709656457,0.0,506.0,5.0,0.0,2024-04-07,15.0,452.03,Bullring & Grand Central,Birmingham,West Midlands,UK,Cash,,
4709,104709,Body Care and Hygiene,Body Lotion,4,21.71,51,313,2023-09-03,10,2023-09-03,Sunday,September,2023,2023Q3,1,Rebecca,Sanchez,Female,31.0,1993-03-11,fsingleton@owen.com,209.502.9642x6598,0.0,1152.0,10.0,0.0,2022-11-22,21.0,438.4,CambridgeSide,Cambridge,Massachusetts,US,Google Pay,,
4710,104710,Skin Care,Sunscreen,2,44.54,55,402,2021-05-30,7,2021-05-30,Sunday,May,2021,2021Q2,1,Kristin,Dodson,Other,23.0,2001-06-15,jennifer22@hotmail.com,080.982.4561x47997,0.0,408.0,7.0,1.0,2021-03-24,28.0,172.55,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Cash,,
4711,104711,Skin Care,Lip Balm,4,28.35,16,313,2021-04-10,2,2021-04-10,Saturday,April,2021,2021Q2,1,Rebecca,Sanchez,Female,31.0,1993-03-11,fsingleton@owen.com,209.502.9642x6598,0.0,1152.0,10.0,0.0,2022-11-22,21.0,438.4,The Oracle,Reading,Berkshire,UK,Credit Card - MasterCard,MasterCard,
4712,104712,Skin Care,Lip Balm,1,88.96,24,104,2024-06-04,6,2024-06-04,Tuesday,June,2024,2024Q2,0,Stephen,Nichols,Female,26.0,1998-06-18,pjohnson@gmail.com,842-077-2340x30668,1.0,852.0,5.0,1.0,2023-10-24,47.0,108.89,The Dubai Mall,Dubai,Dubai,UAE,PayPal,,
4713,104713,Skin Care,Sunscreen,4,88.06,1,219,2020-04-05,5,2020-04-05,Sunday,April,2020,2020Q2,1,Kayla,Smith,Female,35.0,1989-07-11,calderonkristina@lawson.com,228.271.3831,0.0,2.0,1.0,1.0,2024-01-04,30.0,81.54,Mall of America,Bloomington,Minnesota,US,Debit Card - MasterCard,MasterCard,
4714,104714,Skin Care,Lip Balm,1,34.03,19,825,2020-07-12,1,2020-07-12,Sunday,July,2020,2020Q3,1,Michael,Pineda,Female,23.0,2001-07-01,rodney17@gmail.com,+1-847-253-6039x22539,0.0,1735.0,5.0,1.0,2021-02-27,12.0,358.36,Yorkdale Shopping Centre,Toronto,Ontario,Canada,Credit Card - Visa,Visa,
4715,104715,Skin Care,Sunscreen,1,63.07,2,485,2024-02-24,3,2024-02-24,Saturday,February,2024,2024Q1,1,Cheryl,Dominguez,Other,64.0,1960-11-22,mariahward@hotmail.com,954.955.0835x78186,1.0,1243.0,10.0,1.0,2020-01-12,47.0,178.56,The Galleria,Houston,Texas,US,Credit Card - AMEX,AMEX,
4716,104716,Skin Care,Sunscreen,2,56.85,33,809,2022-01-03,8,2022-01-03,Monday,January,2022,2022Q1,0,Shane,Thomas,Female,25.0,1999-12-27,steven56@contreras.com,709.417.6280x6119,0.0,49.0,3.0,0.0,2022-12-31,38.0,345.78,Bellevue Square,Bellevue,Washington,US,BNPL (Buy Now, Pay Later),
4717,104717,Hair Care,Shampoo,1,17.59,6,161,2022-02-02,3,2022-02-02,Wednesday,February,2022,2022Q1,0,Ronald,Rodriguez,Male,56.0,1969-01-21,utaylor@gmail.com,+1-844-107-2932,1.0,1446.0,8.0,0.0,2020-05-26,14.0,78.72,Aventura Mall,Miami,Florida,US,Credit Card - AMEX,AMEX,
4718,104718,Body Care and Hygiene,Hand Sanitizer,1,27.45,46,397,2023-05-19,10,2023-05-19,Friday,May,2023,2023Q2,0,Sharon,Strong,Male,65.0,1960-01-11,osingh@gmail.com,+1-909-500-8234x108,0.0,1573.0,1.0,1.0,2021-05-18,39.0,37.64,Park Meadows,Lone Tree,Colorado,US,Google Pay,,
4719,104719,Oral Care,Mouthwash,1,15.41,13,377,2022-03-29,1,2022-03-29,Tuesday,March,2022,2022Q1,0,Anne,Chapman,Other,60.0,1964-03-26,melissa78@hotmail.com,9402768669,1.0,1817.0,10.0,1.0,2022-04-18,43.0,423.86,The Grove,Los Angeles,California,US,Credit Card - Visa,Visa,
4720,104720,Body Care and Hygiene,Body Lotion,1,26.55,30,569,2024-12-15,4,2024-12-15,Sunday,December,2024,2024Q4,1,Luis,Lee,Male,33.0,1991-05-20,jensenmark@thomas-carter.com,(050)550-8432,1.0,983.0,10.0,0.0,2020-04-15,17.0,105.3,Westfield San Francisco Centre,San Francisco,California,US,Debit Card - Visa,Visa,
4721,104721,Skin Care,Sunscreen,1,77.5,55,968,2023-07-06,1,2023-07-06,Thursday,July,2023,2023Q3,0,James,Garcia,Male,25.0,1999-08-07,joneslynn@hotmail.com,+1-176-269-8546x406,0.0,1196.0,2.0,0.0,2020-12-06,10.0,354.72,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Credit Card - Visa,Visa,
4722,104722,Hair Care,Hair Oil,4,26.92,23,674,2020-01-22,8,2020-01-22,Wednesday,January,2020,2020Q1,0,Michelle,Curtis,Female,29.0,1995-12-05,whitneypratt@hotmail.com,+1-425-895-5407,1.0,954.0,5.0,1.0,2022-03-25,23.0,460.48,Palisades Center,West Nyack,New York,US,BNPL (Buy Now, Pay Later),
4723,104723,Skin Care,Lip Balm,1,29.55,9,995,2020-12-14,10,2020-12-14,Monday,December,2020,2020Q4,0,Juan,Mcdonald,Male,66.0,1959-01-22,salazarnancy@yahoo.com,757-676-6439,0.0,1560.0,7.0,0.0,2024-08-31,17.0,74.46,Bullring & Grand Central,Birmingham,West Midlands,UK,Google Pay,,
4724,104724,Body Care and Hygiene,Hand Sanitizer,2,27.46,25,44,2024-11-09,6,2024-11-09,Saturday,November,2024,2024Q4,1,Michelle,Ruiz,Male,40.0,1984-03-10,vkidd@kramer-zuniga.com,690.943.6546x6948,1.0,503.0,5.0,1.0,2021-01-22,6.0,402.05,Lenox Square,Atlanta,Georgia,US,PayPal,,
4725,104725,Oral Care,Toothpaste,3,11.29,16,945,2024-12-29,9,2024-12-29,Sunday,December,2024,2024Q4,1,Keith,Hale,Other,24.0,2000-04-10,browndeanna@hotmail.com,001-501-523-8642,0.0,513.0,3.0,1.0,2020-01-30,13.0,295.15,The Oracle,Reading,Berkshire,UK,Apple Pay,,
4726,104726,Oral Care,Toothpaste,4,11.07,54,783,2020-11-19,5,2020-11-19,Thursday,November,2020,2020Q4,0,Ricky,Goodman,Other,38.0,1986-09-09,stuart19@dawson-arias.com,+1-612-225-7987x51260,1.0,1626.0,10.0,1.0,2021-01-15,43.0,202.5,Westfield Century City,Los Angeles,California,US,Debit Card - MasterCard,MasterCard,
4727,104727,Body Care and Hygiene,Body Lotion,2,27.83,53,942,2020-09-08,7,2020-09-08,Tuesday,September,2020,2020Q3,0,Jeremy,Cook,Other,54.0,1970-11-05,alicia44@payne.biz,134-899-7974x0516,1.0,1481.0,1.0,1.0,2020-08-20,26.0,438.22,SouthPark,Charlotte,North Carolina,US,Cash,,
4728,104728,Body Care and Hygiene,Body Lotion,2,24.99,12,487,2025-02-04,9,2025-02-04,Tuesday,February,2025,2025Q1,0,Natasha,Diaz,Other,49.0,1975-07-30,kellyflores@allen.com,877-074-2948,1.0,1773.0,5.0,1.0,2022-10-11,41.0,40.25,Metrocentre,Gateshead,Tyne and Wear,UK,Apple Pay,,
4729,104729,Skin Care,Lip Balm,3,21.79,38,395,2024-03-14,5,2024-03-14,Thursday,March,2024,2024Q1,0,Briana,Thomas,Female,21.0,2003-08-14,deanna56@clark-gardner.com,980.470.1669,0.0,1329.0,6.0,1.0,2021-08-04,23.0,276.84,The Shops at La Cantera,San Antonio,Texas,US,Debit Card - MasterCard,MasterCard,
4730,104730,Skin Care,Face Wash,1,49.22,6,975,2022-04-11,1,2022-04-11,Monday,April,2022,2022Q2,0,Jessica,Franco,Female,37.0,1987-05-04,mariehunter@hotmail.com,001-677-765-0247,0.0,707.0,3.0,1.0,2021-07-23,16.0,12.97,Aventura Mall,Miami,Florida,US,Credit Card - Visa,Visa,
4731,104731,Body Care and Hygiene,Deodorant,4,22.8,33,550,2022-02-07,9,2022-02-07,Monday,February,2022,2022Q1,0,Julie,Patterson,Male,64.0,1960-06-21,thomasholder@hotmail.com,001-112-828-1888x90376,1.0,987.0,7.0,1.0,2020-05-01,24.0,430.06,Bellevue Square,Bellevue,Washington,US,Apple Pay,,
4732,104732,Hair Care,Hair Oil,4,19.98,45,756,2022-02-06,6,2022-02-06,Sunday,February,2022,2022Q1,1,Brittany,May,Male,33.0,1991-12-17,npotter@nixon-hall.biz,001-909-630-8015x28919,0.0,1125.0,10.0,1.0,2022-07-15,16.0,18.4,Westfield Annapolis,Annapolis,Maryland,US,PayPal,,
4733,104733,Skin Care,Moisturizer,4,19.27,10,90,2020-12-22,7,2020-12-22,Tuesday,December,2020,2020Q4,0,Douglas,Cooley,Male,62.0,1962-06-15,elliscindy@hotmail.com,435-896-3756x13833,0.0,1315.0,6.0,0.0,2024-09-19,17.0,151.58,South Coast Plaza,Costa Mesa,California,US,Cash,,
4734,104734,Skin Care,Face Wash,3,28.64,28,709,2024-05-16,7,2024-05-16,Thursday,May,2024,2024Q2,0,Michael,Gould,Female,41.0,1983-08-19,julie52@hotmail.com,436-299-0598x05973,1.0,230.0,7.0,0.0,2021-06-03,46.0,70.54,Dolphin Mall,Miami,Florida,US,Cash,,
4735,104735,Body Care and Hygiene,Hand Sanitizer,4,22.31,9,105,2020-06-29,1,2020-06-29,Monday,June,2020,2020Q2,0,Ryan,Hayes,Male,37.0,1987-06-25,hodgesjeffrey@ramos.info,001-601-019-6868x36450,1.0,1181.0,7.0,0.0,2020-12-29,16.0,320.14,Bullring & Grand Central,Birmingham,West Midlands,UK,Credit Card - Visa,Visa,
4736,104736,Body Care and Hygiene,Hand Sanitizer,4,22.83,42,76,2020-07-30,5,2020-07-30,Thursday,July,2020,2020Q3,0,Sean,Lawrence,Male,32.0,1992-02-29,jonesemily@smith-allen.com,(300)103-0577,1.0,945.0,10.0,0.0,2021-05-13,12.0,89.94,Brookfield Place,New York,New York,US,Debit Card - MasterCard,MasterCard,
4737,104737,Skin Care,Sunscreen,2,12.88,10,225,2021-04-14,10,2021-04-14,Wednesday,April,2021,2021Q2,0,Lisa,Wilson,Other,20.0,2004-08-09,ldominguez@williams-hall.com,(827)546-9327x07205,1.0,1742.0,1.0,0.0,2020-09-02,30.0,110.37,South Coast Plaza,Costa Mesa,California,US,Google Pay,,
4738,104738,Oral Care,Toothpaste,4,3.99,31,953,2023-03-17,2,2023-03-17,Friday,March,2023,2023Q1,0,Daniel,Stout,Male,63.0,1961-07-05,wwood@shelton.com,421-603-8484,0.0,631.0,10.0,1.0,2023-07-28,22.0,186.78,Cherry Creek Shopping Center,Denver,Colorado,US,Credit Card - MasterCard,MasterCard,
4739,104739,Skin Care,Lip Balm,2,11.62,32,277,2025-01-13,1,2025-01-13,Monday,January,2025,2025Q1,0,David,Sanchez,Male,68.0,1957-01-10,rachelrios@matthews-lawrence.org,603.658.2540x5998,0.0,1118.0,1.0,0.0,2023-06-26,31.0,257.43,International Plaza and Bay Street,Tampa,Florida,US,Credit Card - Visa,Visa,
4740,104740,Oral Care,Toothpaste,4,7.24,9,481,2021-12-09,2,2021-12-09,Thursday,December,2021,2021Q4,0,Raymond,Robinson,Other,48.0,1977-01-06,csampson@villa.com,(100)295-6004,0.0,1442.0,5.0,1.0,2020-05-18,21.0,209.27,Bullring & Grand Central,Birmingham,West Midlands,UK,Credit Card - MasterCard,MasterCard,
4741,104741,Body Care and Hygiene,Body Lotion,3,25.25,30,264,2023-04-22,4,2023-04-22,Saturday,April,2023,2023Q2,1,Gabriella,Welch,Other,20.0,2005-01-25,carrie56@walton-curtis.biz,(337)363-2651x736,0.0,78.0,7.0,1.0,2024-08-12,6.0,342.84,Westfield San Francisco Centre,San Francisco,California,US,Debit Card - Visa,Visa,
4742,104742,Oral Care,Mouthwash,2,11.11,47,761,2023-02-10,4,2023-02-10,Friday,February,2023,2023Q1,0,Kimberly,Simpson,Other,60.0,1964-12-14,garydudley@yahoo.com,(301)859-9339,0.0,117.0,9.0,1.0,2023-03-02,43.0,89.0,The Americana at Brand,Glendale,California,US,Debit Card - Visa,Visa,
4743,104743,Skin Care,Face Wash,2,36.15,36,164,2020-07-26,7,2020-07-26,Sunday,July,2020,2020Q3,1,Alexander,Mccormick,Male,34.0,1990-04-10,umalone@hotmail.com,+1-594-515-4598x46872,0.0,1198.0,9.0,1.0,2020-12-08,11.0,463.54,The Mall at Short Hills,Short Hills,New Jersey,US,Cash,,
4744,104744,Body Care and Hygiene,Deodorant,1,8.74,56,371,2023-09-17,2,2023-09-17,Sunday,September,2023,2023Q3,1,Chelsey,Franklin,Male,62.0,1962-02-26,joseph42@edwards.com,(792)398-9778x62516,0.0,969.0,3.0,1.0,2023-02-27,12.0,75.68,The Mall in Columbia,Columbia,Maryland,US,Credit Card - MasterCard,MasterCard,
4745,104745,Skin Care,Sunscreen,3,39.07,32,812,2024-11-21,6,2024-11-21,Thursday,November,2024,2024Q4,0,Cheryl,Martin,Male,26.0,1998-04-06,operry@gmail.com,(842)908-5530,0.0,76.0,10.0,1.0,2020-03-24,25.0,376.13,International Plaza and Bay Street,Tampa,Florida,US,PayPal,,
4746,104746,Hair Care,Conditioner,4,15.3,26,919,2021-07-09,9,2021-07-09,Friday,July,2021,2021Q3,0,Susan,Stevenson,Male,54.0,1970-10-10,jmyers@yahoo.com,935.134.0938,0.0,33.0,6.0,0.0,2024-12-02,20.0,465.13,Easton Town Center,Columbus,Ohio,US,Apple Pay,,
4747,104747,Skin Care,Face Wash,4,46.98,60,634,2022-10-26,9,2022-10-26,Wednesday,October,2022,2022Q4,0,Christopher,Mitchell,Other,58.0,1967-01-01,tammy84@greer.com,5848193820,1.0,1410.0,5.0,1.0,2024-01-05,27.0,180.8,Stonebriar Centre,Frisco,Texas,US,Apple Pay,,
4748,104748,Hair Care,Shampoo,2,28.54,7,135,2022-05-26,4,2022-05-26,Thursday,May,2022,2022Q2,0,Cindy,Johnson,Male,63.0,1961-05-06,virginiabates@miller.biz,7488059835,0.0,233.0,8.0,0.0,2021-09-19,47.0,284.08,West Edmonton Mall,Edmonton,Alberta,Canada,Debit Card - Visa,Visa,
4749,104749,Body Care and Hygiene,Hand Sanitizer,2,29.04,36,847,2024-08-29,1,2024-08-29,Thursday,August,2024,2024Q3,0,Theresa,Mcdonald,Male,39.0,1985-07-11,munoztimothy@wolfe-hale.info,+1-304-928-6393x8779,0.0,576.0,2.0,0.0,2020-07-08,18.0,251.37,The Mall at Short Hills,Short Hills,New Jersey,US,Credit Card - Visa,Visa,
4750,104750,Hair Care,Hair Oil,4,27.97,57,501,2020-09-30,8,2020-09-30,Wednesday,September,2020,2020Q3,0,Morgan,Rodriguez,Male,70.0,1954-07-28,joshualong@yahoo.com,(236)567-2427,1.0,1255.0,9.0,1.0,2021-03-15,7.0,97.06,The Gardens Mall,Palm Beach Gardens,Florida,US,BNPL (Buy Now, Pay Later),
4751,104751,Skin Care,Lip Balm,1,75.38,46,100,2021-07-28,8,2021-07-28,Wednesday,July,2021,2021Q3,0,John,Anderson,Other,46.0,1978-03-24,jgarcia@knapp-powell.info,138.587.7367x003,0.0,38.0,2.0,0.0,2020-11-13,38.0,374.68,Park Meadows,Lone Tree,Colorado,US,BNPL (Buy Now, Pay Later),
4752,104752,Skin Care,Face Wash,4,18.93,38,58,2023-01-06,2,2023-01-06,Friday,January,2023,2023Q1,0,Lucas,Rose,Other,30.0,1994-12-08,georgejames@anderson.biz,071.239.1977x7354,0.0,1121.0,1.0,0.0,2023-06-23,33.0,51.91,The Shops at La Cantera,San Antonio,Texas,US,Credit Card - MasterCard,MasterCard,
4753,104753,Body Care and Hygiene,Hand Sanitizer,1,10.71,23,670,2022-12-22,5,2022-12-22,Thursday,December,2022,2022Q4,0,James,Gilbert,Female,29.0,1995-08-17,xsalinas@blake.net,631.802.3933x52321,0.0,1123.0,3.0,1.0,2020-11-29,16.0,426.13,Palisades Center,West Nyack,New York,US,Debit Card - MasterCard,MasterCard,
4754,104754,Skin Care,Moisturizer,1,56.18,18,891,2020-07-06,2,2020-07-06,Monday,July,2020,2020Q3,0,Michael,Smith,Other,25.0,2000-01-09,william84@hotmail.com,140.960.6222x8480,1.0,1456.0,6.0,1.0,2020-08-01,15.0,15.27,Arndale Centre,Manchester,Greater Manchester,UK,Credit Card - MasterCard,MasterCard,
4755,104755,Oral Care,Mouthwash,4,17.05,55,167,2023-09-08,9,2023-09-08,Friday,September,2023,2023Q3,0,Tricia,Potts,Female,34.0,1990-12-08,rayaimee@patton.com,442-418-5847,0.0,479.0,1.0,1.0,2023-07-24,28.0,466.13,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Apple Pay,,
4756,104756,Skin Care,Lip Balm,1,36.55,54,251,2022-06-18,7,2022-06-18,Saturday,June,2022,2022Q2,1,Calvin,Newman,Female,40.0,1984-05-21,meganperez@yahoo.com,565.666.7771x0705,1.0,1728.0,10.0,0.0,2022-08-10,4.0,127.11,Westfield Century City,Los Angeles,California,US,Cash,,
4757,104757,Body Care and Hygiene,Body Lotion,1,28.04,5,931,2024-05-02,7,2024-05-02,Thursday,May,2024,2024Q2,0,Connor,Weiss,Male,35.0,1989-08-27,victoria20@miller.com,457.407.5352x593,0.0,268.0,1.0,0.0,2021-12-17,28.0,310.82,King of Prussia Mall,Philadelphia,Pennsylvania,US,Cash,,
4758,104758,Body Care and Hygiene,Body Lotion,3,7.11,3,638,2025-02-06,3,2025-02-06,Thursday,February,2025,2025Q1,0,Crystal,Green,Male,41.0,1983-04-29,stevencisneros@smith.com,001-356-601-3407x779,0.0,70.0,6.0,0.0,2024-11-05,32.0,249.91,Westfield London,London,England,UK,Credit Card - AMEX,AMEX,
4759,104759,Skin Care,Face Wash,3,10.43,51,301,2024-01-16,7,2024-01-16,Tuesday,January,2024,2024Q1,0,Ryan,Grant,Other,64.0,1960-08-04,jared93@miller.com,(986)756-4108,0.0,508.0,10.0,1.0,2024-08-02,18.0,118.04,CambridgeSide,Cambridge,Massachusetts,US,Cash,,
4760,104760,Hair Care,Shampoo,1,49.39,52,453,2024-12-16,10,2024-12-16,Monday,December,2024,2024Q4,0,Scott,Wallace,Male,60.0,1965-01-09,jessica97@reese-stone.com,001-276-810-3014,1.0,1779.0,8.0,1.0,2020-04-02,13.0,414.25,Pheasant Lane Mall,Nashua,New Hampshire,US,Google Pay,,
4761,104761,Body Care and Hygiene,Body Lotion,4,9.87,7,713,2022-01-11,8,2022-01-11,Tuesday,January,2022,2022Q1,0,Rick,Moore,Other,59.0,1965-05-10,millerlisa@vasquez.com,034.434.8923,1.0,1115.0,9.0,1.0,2024-07-27,20.0,454.18,West Edmonton Mall,Edmonton,Alberta,Canada,BNPL (Buy Now, Pay Later),
4762,104762,Body Care and Hygiene,Deodorant,4,3.89,47,837,2021-02-02,10,2021-02-02,Tuesday,February,2021,2021Q1,0,Melissa,Jones,Other,19.0,2006-01-04,jennasmith@thompson.net,+1-152-588-0918x57817,0.0,1434.0,1.0,1.0,2022-08-30,19.0,244.08,The Americana at Brand,Glendale,California,US,Google Pay,,
